route_id,year,direction_1,month,v,TTI
2,2019,FALSE,0,35.89,1.38
4,2017,FALSE,0,32.72,1.43
4,2018,FALSE,0,34.59,1.35
4,2019,FALSE,0,35.34,1.32
5,2017,FALSE,0,29.97,1.52
5,2018,FALSE,0,30.98,1.47
5,2019,FALSE,0,31.78,1.44
6,2017,FALSE,0,48.53,1.32
6,2018,FALSE,0,48.70,1.31
6,2019,FALSE,0,49.56,1.29
9,2017,FALSE,0,27.76,1.45
9,2018,FALSE,0,28.12,1.45
9,2019,FALSE,0,29.86,1.40
7,2017,FALSE,0,37.23,1.41
7,2018,FALSE,0,37.71,1.39
7,2019,FALSE,0,38.64,1.36
8,2017,FALSE,0,39.41,1.41
8,2018,FALSE,0,40.35,1.37
8,2019,FALSE,0,41.85,1.33
1,2017,FALSE,0,25.52,1.58
1,2018,FALSE,0,26.79,1.50
1,2019,FALSE,0,27.63,1.46
