segment_id,direction_1,year,month,v,TTI
901268796,FALSE,2019,2,26.26,1.37
901268796,FALSE,2019,3,25.59,1.41
901268796,FALSE,2019,4,26.3,1.37
901268796,FALSE,2019,5,26.19,1.37
901268796,FALSE,2019,6,26.47,1.36
901268796,FALSE,2019,7,27.28,1.32
901268796,FALSE,2019,8,28.48,1.26
901268796,FALSE,2019,9,28.15,1.28
901268796,FALSE,2019,10,26.46,1.36
901268796,TRUE,2017,10,31.98,1.31
901268796,TRUE,2017,11,30.04,1.4
901268796,TRUE,2017,12,31.35,1.34
901268796,TRUE,2018,1,31.99,1.31
901268796,TRUE,2018,2,37.65,1.12
901268796,TRUE,2018,3,31.9,1.32
901268796,TRUE,2018,4,28.98,1.45
901268796,TRUE,2018,5,31.62,1.33
901268796,TRUE,2018,6,30.72,1.37
901268796,TRUE,2018,7,30.7,1.37
901268796,TRUE,2018,8,31.95,1.31
901268796,TRUE,2018,9,31.91,1.32
901268796,TRUE,2018,10,30.7,1.37
901268796,TRUE,2018,11,31.11,1.35
901268796,TRUE,2018,12,31.09,1.35
901268796,TRUE,2019,1,31.96,1.31
901268796,TRUE,2019,2,33.56,1.25
901268796,TRUE,2019,3,32.43,1.29
901268796,TRUE,2019,4,32.6,1.29
901268796,TRUE,2019,5,31.85,1.32
901268796,TRUE,2019,6,32.73,1.28
901268796,TRUE,2019,7,30.15,1.39
901268796,TRUE,2019,8,31.87,1.32
901268796,TRUE,2019,9,33.63,1.25
901268796,TRUE,2019,10,31.99,1.31
901268797,FALSE,2017,10,23.58,1.48
901268797,FALSE,2017,11,23.52,1.49
901268797,FALSE,2017,12,23.52,1.49
901268797,FALSE,2018,1,25.38,1.38
901268797,FALSE,2018,2,30.58,1.14
901268797,FALSE,2018,3,27.38,1.28
901268797,FALSE,2018,4,23.13,1.51
901268797,FALSE,2018,5,23.46,1.49
901268797,FALSE,2018,6,24.07,1.45
901268797,FALSE,2018,7,24.16,1.45
901268797,FALSE,2018,8,24.14,1.45
901268797,FALSE,2018,9,24.35,1.44
901268797,FALSE,2018,10,23.18,1.51
901268797,FALSE,2018,11,23.84,1.47
901268797,FALSE,2018,12,23.59,1.48
901268797,FALSE,2019,1,24.09,1.45
901268797,FALSE,2019,2,25.03,1.4
901268797,FALSE,2019,3,24.17,1.45
901268797,FALSE,2019,4,25.05,1.4
901268797,FALSE,2019,5,24.94,1.4
901268797,FALSE,2019,6,25.04,1.4
901268797,FALSE,2019,7,25.84,1.35
901268797,FALSE,2019,8,26.93,1.3
901268797,FALSE,2019,9,26.87,1.3
901268797,FALSE,2019,10,25.19,1.39
901268797,TRUE,2017,10,28.7,1.36
901268797,TRUE,2017,11,26.09,1.49
901268797,TRUE,2017,12,27.98,1.39
901268797,TRUE,2018,1,30.48,1.28
901268797,TRUE,2018,2,28.84,1.35
901268797,TRUE,2018,3,29.23,1.33
901268797,TRUE,2018,4,26,1.5
901268797,TRUE,2018,5,28.34,1.38
901268797,TRUE,2018,6,28.23,1.38
901268797,TRUE,2018,7,27.71,1.41
901268797,TRUE,2018,8,30.63,1.27
901268797,TRUE,2018,9,29.69,1.31
901268797,TRUE,2018,10,27.72,1.41
901268797,TRUE,2018,11,28.92,1.35
901268797,TRUE,2018,12,28.57,1.37
